Economy,Year,Individuals using the Internet (% of population),Proportion of seats held by women in national parliaments (%),Ratio of female to male labor force participation rate (%) (modeled ILO estimate),Government Effectiveness: Estimate,Economic and Social Rights Performance Score,Voice and Accountability: Estimate,"Patent applications, residents",Research and development expenditure (% of GDP),Net migration,Political Stability and Absence of Violence/Terrorism: Estimate,Rule of Law: Estimate
Armenia,2013,-2.0590998955967734,-1.9178571293081714,-0.030709139399706306,-1.0075899317723354,-1.0110965243529586,-1.9948750940424629,-0.6457045723828286,-1.6732764357857848,-0.4365067635559273,-0.8803721127898279,-1.4129542359505805
Armenia,2014,-1.5112440722915277,-1.9178571293081714,-0.02449897758088346,-1.3924779688091615,-0.971119878027148,-1.9728493977071886,-0.662182829285529,-1.6344683613944735,-0.4230557258735049,-1.3774799836178366,-1.4988351695643738
Armenia,2015,-1.2780915644216309,-1.9178571293081714,-0.017493403462088428,-1.475081877785351,-0.9296566568731451,-1.9507425055654768,-0.6968546066525915,-1.6175523344603975,-0.40963245290582323,-1.3348254161818796,-1.5488736615498524
Armenia,2016,-0.9776291457564793,-1.9178571293081714,-0.02795869078082119,-1.453879880156468,-0.8645659681649326,-1.987279067774985,-0.6457045723828286,-1.651491175895322,-0.39603199056802585,-1.7241072212819208,-1.2101055300248518
Armenia,2017,-0.9535586196484718,-1.0747994673280037,0.004450861505070842,-1.3861199756238716,-0.8645659681649326,-1.9716562682265062,-0.7245228724587457,-1.6617567110394778,-0.3827444522703711,-1.6885773071160115,-1.2649908541581731
Armenia,2018,-0.7348881868244534,-1.0747994673280037,0.011165256960659946,-1.295155742644388,-0.8645659681649326,-1.564037892781671,-0.753800455714803,-1.7417872510411034,-0.3558269284629373,-1.5306184021349705,-1.2512012166562279
Armenia,2019,-0.8428447980941169,-0.4867668746870869,0.31698822541619354,-1.357496000802404,-0.8645659681649326,-1.3540995376693212,-0.7013616231843294,-1.7632719518822857,-0.38659656525716724,-1.5008603486460401,-1.2289109515303847
Armenia,2020,-0.16498982655750838,-0.4867668746870869,0.6209034875875356,-1.4449175260537193,-0.8191668593153786,-1.3630854420186602,-0.9935960234081254,-1.699735341344306,-0.3537067883200609,-1.8089675679344992,-1.1702721839472308
Austria,2012,0.10118554013695766,-0.019854192639811634,0.2044075339127872,0.9193828520607447,1.3709582968564769,1.0052767362067405,0.7929271407892747,1.3482449778249888,0.3066353878771445,1.6844198085938378,1.2093230448599503
Austria,2013,0.14704834724698507,0.550562429300626,0.2569216437610619,0.9350067996663088,1.3709582968564769,1.0217985678413426,0.7717973899216487,1.3760426484184691,0.39058486465151404,1.7485708682079795,1.1806841153530006
Austria,2014,0.17662010534252684,0.43739512389716545,0.35127585503855774,0.9093457851505697,1.3709582968564769,0.883030074817671,0.755780115335645,1.4637902095602007,0.5151058051977546,1.4968732087528152,1.3106998901226148
Austria,2015,0.41313154587489986,0.2668161903577095,0.3638819657583929,0.767741575774609,1.3709582968564769,0.8670219368967781,0.7813772899202683,1.4405806716153808,0.7964931619398503,1.1325174040754253,1.156666411174725
Austria,2016,0.4446735872780304,0.2668161903577095,0.40657231690542917,0.8006834741959511,1.3709582968564769,0.7710877267440542,0.7525113526418058,1.485294390987549,0.45610917912666443,0.5671462614296305,1.090405225914855
Austria,2017,0.7499379201229818,0.6633038415654579,0.42060630480130046,0.7909883618500207,1.3709582968564769,0.8722839039601377,0.7513385101478156,1.4452236745618996,0.3099852270061334,0.8877849585413706,1.1387548951456707
Austria,2018,0.7105286410732539,0.6633038415654579,0.35787764048120835,0.7747954231737872,1.3709582968564769,0.9003412930426463,0.7432861117759496,1.4687973380686075,0.23593913023102117,0.5506533469063629,1.2048392292100942
Austria,2019,0.7340762993709234,1.1657474147436027,0.4014816299303214,0.8246667385353418,1.3709582968564769,0.7698421866252676,0.7496916913191628,1.4958892406182824,0.2782172758783861,0.5671462614296305,1.2158004517241412
Austria,2020,0.7148592344695165,1.1657474147436027,0.482922340715022,0.98321579485823,1.3709582968564769,0.8899918845032468,0.7631688428174966,1.541933021370005,0.26739006695713663,0.5567470658402732,1.1017110458516928
Belgium,2012,0.1549706067311186,1.0291702685482038,-0.24315783485284104,1.0747972115648987,0.9182727627282664,0.7952113592916167,0.2555641445826554,0.8714657681202228,0.3065415036186146,0.6387140316014313,0.7037508725600761
Belgium,2013,0.26977450379579615,1.0291702685482038,-0.07663142923047385,1.1181428826132613,0.9182727627282664,0.8445435980212653,0.22861859253599787,0.9117174986587895,0.18255779343565023,0.6767276744889812,0.7135965563250375
Belgium,2014,0.5007931175836116,1.1646320557479035,0.07872043305322639,0.859797871423348,0.9182727627282664,0.8305038007769224,0.3363004555401861,0.943221175382243,0.251864559764996,0.1539911416523362,0.8266309550519043
Belgium,2015,0.5050971753998256,1.1646320557479035,0.12765760784240157,0.8764845336309778,0.9182727627282664,0.8750216256562247,0.368517290432186,0.9892606358544543,0.4388842503972991,-0.09438289531530851,0.7128580424840835
Belgium,2016,0.628214202216024,1.1646320557479035,0.10713788606652323,0.6940531457001344,0.9182727627282664,0.8535685908930222,0.420211904364405,1.0630428388570543,0.18273631037111185,-0.36816251479178386,0.6361306678808293
Belgium,2017,0.7278167157975822,1.0291702685482038,0.1115172985389202,0.47951222537782306,0.9182727627282664,0.7727487888775666,0.39480712282651337,1.170719655512926,0.25558129466446317,-0.38941540994336493,0.5463241262172898
Belgium,2018,0.81185752885264,1.0291702685482038,0.33391461276954326,0.45750661085017214,0.9182727627282664,0.7557414353497017,0.3379630726609803,1.310137127470824,0.34685493604533196,-0.4311099574998848,0.5683873179807296
Belgium,2019,0.9557056069497589,1.433996459902136,0.39011667636295566,0.3071579782028461,0.9182727627282664,0.7103151432738521,0.3290293114525535,1.5117110353992023,0.40297987842088384,-0.3165266019927804,0.5654447851868081
Belgium,2020,1.0683202517768695,1.3668431449931575,0.4062424420797764,0.26005314653308126,0.9182727627282664,0.6482367162285669,0.3210752480844429,1.6624712000596633,0.2976942660177612,-0.2010500986222857,0.554902662938063
Bosnia and Herzegovina,2012,-1.9384041316437426,-0.7090929690797348,-2.2440704867899117,-1.6094541475804343,-0.3912001772922638,-1.5310691427286978,-2.6157329656546664,-1.587368173568455,-1.8064683201364127,-1.6110388747678657,-1.2512012166562279
Bosnia and Herzegovina,2013,-1.7948682841107457,-0.7090929690797348,-2.249466667024548,-1.5862178137502947,-0.4216395358561494,-1.5485440458613529,-2.0866910384955766,-1.4796787509759604,-0.9894251779987719,-1.4862089172490036,-1.1857176131968146
Bosnia and Herzegovina,2014,-1.7333881203227974,-0.7090929690797348,-2.259877412825175,-1.6499073110314406,-0.4216395358561494,-1.499008537547855,-1.211930249762195,-1.603305970590791,-0.9535101436007747,-1.0563097166585975,-1.1775424382684667
Bosnia and Herzegovina,2015,-1.6095939774840016,-0.7090929690797348,-2.2467070514960046,-1.791916427802329,-0.4515498002146133,-1.5286823911071026,-1.1060396172846299,-1.6858628656504582,-0.9063946694462658,-1.4855264272653093,-1.3272483520546525
Bosnia and Herzegovina,2016,-1.2144396042567636,-0.7090929690797348,-2.2389414551899582,-1.6066345497892607,-0.4515498002146133,-1.5641442713148694,-1.0184031877687658,-1.6911586080582117,-0.8583487146019315,-1.4840629612187446,-1.2464514125153223
Bosnia and Herzegovina,2017,-0.9446385039594467,-0.7090929690797348,-2.22735295443184,-1.6788833028508314,-0.48093924016086903,-1.64176465445416,-0.8295529803937468,-1.723153820301895,-0.8172556134008306,-1.4332829701437229,-1.2564018799689485
Bosnia and Herzegovina,2018,-0.6122118331167855,-0.7090929690797348,-2.211778696411761,-1.8407237398466778,-0.5098160107694604,-1.695814366987929,-0.8473776238488748,-1.7351472220611808,-0.7768272022963207,-1.4823050212974416,-1.2832848037866627
Bosnia and Herzegovina,2019,-0.6237463318642478,-0.7090929690797348,-2.2019197395228676,-1.8781329670868767,-0.5098160107694604,-1.6800383715001845,-1.1646440612014861,-1.73929531717144,-0.7418033288076499,-1.505489645411943,-1.28351053568786
Bosnia and Herzegovina,2020,-0.4014294335132436,-0.19753892387232455,-2.2399336886884216,-2.25909334897513,-0.5098160107694604,-1.7577738990845078,-1.111097665573683,-1.7120354368131645,-0.7150280986026509,-1.5272020178015129,-1.3851401634398235
Bulgaria,2012,-1.6426262495631692,-0.547963384039369,0.1419457201798566,-1.1324629489458653,-1.8139429215906884,-0.8929683287036628,-0.3059786915235918,-0.9985883153779371,-0.7015169753246265,-0.45535183812582314,-1.158109956517066
Bulgaria,2013,-1.5875349113130468,-0.3689075223915445,0.09243798019229618,-1.1148263423719085,-1.817908461914467,-0.9843587708939865,-0.2353157471749427,-0.9456687750161802,-0.06772045659845692,-0.7921431488321576,-1.1946829248454278
Bulgaria,2014,-1.4677368443839778,-0.8649755271688395,0.015973293876046152,-1.2290531405525735,-1.8217892337289663,-0.942762209692628,-0.36473764551657956,-0.713904352202627,-0.08699054373958275,-0.9254177298631883,-1.1204280617224514
Bulgaria,2015,-1.4080136208956506,-0.8193809168943316,0.06633206816089778,-1.1141291264418847,-1.8255868671164432,-0.8463317551483346,-0.2388884889218557,-0.49538174738361707,-0.13482352279846685,-1.0177825533960598,-1.2085185676873933
Bulgaria,2016,-1.238345388835671,-0.8193809168943316,-0.14457983264444457,-0.9951694823240276,-1.8364968225461886,-0.8907777419498795,-0.33776171590066073,-0.7425747743194302,-0.2635411462827635,-0.9395821148251416,-1.18685273230993
Bulgaria,2017,-1.0334236151422704,-0.4582569291904985,-0.020120930026144873,-0.9842679434775501,-1.8433830853881026,-0.850035757030632,-0.40314315212787033,-0.7857045636617979,-0.18016789083094703,-0.5541961066423493,-1.1693631739866879
Bulgaria,2018,-0.9513111076953411,-0.4582569291904985,-0.16786958414010975,-0.967882878848704,-1.8499736105572415,-0.9446272388406051,-0.46130560473896487,-0.7657262984427039,-0.12642080794586713,-0.34173820555775136,-1.1475315942282993
Bulgaria,2019,-0.7540351079146379,-0.2355193876356824,-0.18894943177890813,-0.8939137347385723,-1.8562798489913308,-0.9596461517458953,-0.4447586605040217,-0.6538050374935018,-0.08644269119801418,-0.12481456793704171,-1.0695101493725403
Bulgaria,2020,-0.6093928244374551,-0.14699707369947249,-0.2664461395439453,-1.344039241828098,-1.8531615654858091,-1.09228562776562,-0.3184489724360892,-0.6301795714776643,0.1981502240267034,-0.41751236103350214,-1.1724308790977032
Croatia,2012,-1.1191450698816303,-0.44847171959164217,-0.7011870518718883,-0.2695772475079566,-0.5098160107694604,-0.6817927880976244,-0.3670530989790709,-0.7903918392449051,-0.14837279097285908,-0.036268812958789774,-0.8593591929576737
Croatia,2013,-0.8300855689117417,-0.44847171959164217,-0.4901041290051748,-0.26906295635034044,-0.5098160107694604,-0.723775132602191,-0.33776171590066073,-0.7067827603565726,-0.18348247217053112,0.034783428915241804,-0.821180354478761
Croatia,2014,-0.7140444896709682,-0.44847171959164217,-0.27124590465873577,-0.26790571536063057,-0.5098160107694604,-0.7219269845562404,-0.490164356442492,-0.7441602717990468,-0.355775830868818,-0.012206992264726959,-0.7744164742630393
Croatia,2015,-0.6304538537402473,-1.395013970000492,-0.23456067308025216,-0.5457390662090251,-0.5098160107694604,-0.6588061854828111,-0.4931441055543825,-0.6662541100285759,-0.7327019801578989,-0.07615280330315999,-0.8798636706849716
Croatia,2016,-0.4372432383827809,-1.6972729595076423,-0.32845667790356053,-0.5895795622684262,-0.5098160107694604,-0.705557970858711,-0.47552653475643625,-0.6376624260426407,-0.8575650900887264,0.05789343344979569,-0.6321188768048651
Croatia,2017,-0.8081446458966217,-1.0252575085383888,-0.38827080538759773,-0.44746995475849755,-0.5381881537852201,-0.7763260905388768,-0.5602088422098876,-0.6415503561993063,-1.1966111336882583,0.11412803903418665,-0.668465977691437
Croatia,2018,-0.2534289761638448,-1.0252575085383888,-0.2715321966996366,-0.4747459580656996,-0.5381881537852201,-0.8261041408790166,-0.662182829285529,-0.503833560243272,-0.6664009237257461,0.3492447878664331,-0.6771324378170427
Croatia,2019,0.028000635681994818,-0.8070239091606416,-0.38000224474206773,-0.5464901887152186,-0.5660635989978888,-0.8141442177759272,-0.4209240464056232,-0.34045854698102024,-0.35863804405368355,0.12149555014564016,-0.6222585275122837
Croatia,2020,-0.02971706794155597,0.32152589083598426,-0.566440295731395,-0.586463802040365,-0.5381881537852201,-0.6207966084586687,-0.6792198791620855,-0.14804883659490645,-0.24033314650472745,-0.03548238713534519,-0.7534378125207482
Czechia,2012,-0.38615167628077735,-0.6470771388495768,-0.8939828223816528,0.05190686042764054,0.7133953822787696,0.05026191496023268,0.32393094946564466,0.4202708768997563,0.006924839695778167,0.9469874881105375,0.18308815321857533
Czechia,2013,-0.33817088062821177,-0.919826485350348,-0.7829775087922086,0.04412148446523427,0.7133953822787696,0.07635164946226788,0.3863681280681157,0.5229745153048474,0.007584634636763624,1.0220349010103713,0.1846640365855835
Czechia,2014,-0.3295626900415021,-0.919826485350348,-0.8151441442135856,0.19708325952405673,0.7133953822787696,0.155010045826217,0.3478210301443514,0.5949548841371476,0.014771515481759477,0.7933898117203889,0.32437879544976644
Czechia,2015,-0.22632458787088894,-0.8649755271688395,-0.7120389245873222,0.189748164740408,0.7133953822787696,0.18539037539280903,0.33127819614397785,0.5575049424426818,0.004362207941981224,0.7470279635917625,0.2856841269267589
Czechia,2016,-0.16693941616890656,-0.8649755271688395,-0.6551161607853526,0.1664346110758176,0.7133953822787696,0.15256419214272007,0.27922808026996854,0.32345972642938137,0.007897823638490856,0.7308835456876149,0.1415379967411109
Czechia,2017,0.0004943032566957741,-0.6470771388495768,-0.5981699408124164,0.1964162755312625,0.6642713561173351,-0.11377457389772928,0.2804750319699734,0.4192203446679171,0.01021782616266665,0.7950444955592542,0.2631941540570783
Czechia,2018,0.15247994923480632,-0.6470771388495768,-0.5321707182054244,0.09090213007653883,0.6642713561173351,-0.21580458533826938,0.20229467061015152,0.5412528889609306,0.011055205240472744,0.8800975838380245,0.17969421347683223
Czechia,2019,0.1664910845417353,-0.5929602275824395,-0.543964804964417,0.049135269494931286,0.6642713561173351,-0.19511688220828635,0.2620740165899403,0.566958385073311,0.008622582280030697,0.6811229570149502,0.17642183624980173
Czechia,2020,0.20367300078920508,-0.5929602275824395,-0.6363673395212867,0.03779100174658719,0.6642713561173351,0.06541910411856225,0.19862593286853106,0.6197439176365398,-0.0014701952701273004,0.6128418893623662,0.17811858147248819
Denmark,2012,1.1352033803585901,1.1415867501271109,0.9829762926102623,1.523611615397083,0.9716508460429494,1.5033132602773585,0.5617182257026078,1.3940884935645672,0.0980587916380217,0.6187831396922564,1.231748777427374
Denmark,2013,1.3555303202041753,1.1415867501271109,1.0988384828069258,1.4609396978972728,0.9716508460429494,1.4853423852713414,0.5385189829105739,1.3867599074079904,0.13225938832472822,0.7210804013281198,1.2656574835165124
Denmark,2014,1.4853031051103005,1.1415867501271109,0.9107784270500197,1.2352780254462263,0.9716508460429494,1.1694682373831846,0.5515054024106172,1.3478281034745927,0.17642286027632179,0.7038522065372504,1.5137345367663266
Denmark,2015,1.5177057634362177,0.9711128099699087,0.7724218293835841,1.2491696588437209,0.9716508460429494,1.2320903569465076,0.5808475428275653,1.4441476830038327,0.28688164326533167,0.5556180324605509,1.4065433243378538
Denmark,2016,1.5793461614805238,0.9711128099699087,0.9999740743585617,1.2867803839711616,0.9716508460429494,1.207643223999348,0.6100834743723199,1.4694643177392046,0.22194665178853928,0.4790042447314319,1.241470028270566
Denmark,2017,1.5921339934807728,0.9711128099699087,0.9942413791359743,1.1813598315461036,0.9716508460429494,1.1552537546164676,0.5901347787597345,1.3596860701480513,0.15637952976996436,0.4834513402117628,1.1436052171408406
Denmark,2018,1.6135377067171495,0.9711128099699087,0.9244418321908736,1.2717279469389753,0.9716508460429494,1.278320033315416,0.5087336782302974,1.3836723679852283,0.11372816651052377,0.6580314808604389,1.104941816931301
Denmark,2019,1.6847553694563133,1.1415867501271109,0.8863041477283727,1.360921259245765,0.9716508460429494,1.2107226088008438,0.5421615251797577,1.3357828933335967,0.0404306174073991,0.7407047721000518,1.1798127815722403
Denmark,2020,1.5387953650599944,1.1982291536725298,0.9228818015424131,1.313645997534088,0.9716508460429494,1.148046817898674,0.5083446213383547,1.3881996585937004,0.05123439909882856,0.6309156826871443,1.146714676967575
Estonia,2012,-0.024496187369098015,-0.7783952068084267,0.08381908808234319,0.08388783588198405,0.814132700940621,0.3178440757780025,-1.5746122061831882,0.7408609593427519,-0.12171803598853762,0.022381765394149846,0.33899235477856293
Estonia,2013,0.09919266478955263,-0.7783952068084267,0.0643453979829494,0.11156910719476767,0.7633450193176118,0.32733782995971394,-1.4624097361812711,0.37639653335643275,-0.09866973521056138,0.2519856636775078,0.3883602714382758
Estonia,2014,0.4379004166277056,-0.9748361260187952,-0.17999987360759592,0.17056161780390403,0.7633450193176118,0.43197584360445557,-1.1760618264211027,0.07626257713784709,-0.0535993824524038,0.32037786263891427,0.6067845124903924
Estonia,2015,0.7911208019346947,-0.45692477315537805,0.036744503375191195,0.2034879032783985,0.7633450193176118,0.46480727171546327,-1.3703073605697973,0.11646524132648445,-0.0020975476568374563,-0.022482020883573508,0.5217027997718189
Estonia,2016,0.6900002397490673,-0.45692477315537805,-0.033820065255110235,0.22846683436201326,0.7633450193176118,0.5071859704423967,-1.3874565304684514,-0.13270738022602666,-0.02962286046433693,0.07526642926346915,0.3898241258516905
Estonia,2017,0.764406199512685,-0.14000027927420428,0.035655615215555166,0.2521501031375279,0.7133953822787696,0.5197745998456451,-1.2640364420675256,-0.09391334621059375,0.005727379984117718,0.03418241838393422,0.458084642030852
Estonia,2018,0.8741852066174013,-0.14000027927420428,0.06045685615334548,0.3573795194513698,0.7133953822787696,0.47135448820208214,-1.4829843093251738,0.054427656403387606,0.021166642518806913,-0.08799360060174777,0.4031236847901625
Estonia,2019,0.9515546477447603,0.172921585338299,0.20914367611640788,0.3428208883978233,0.7133953822787696,0.4497546659021043,-1.3537117322503143,0.27425358027090746,0.007246566292513804,0.00982146810170406,0.45099589152065767
Estonia,2020,0.8478817131776828,0.06903046597960984,0.17640599349618674,0.5588194487197453,0.7133953822787696,0.42586374600514687,-1.5501382038209968,0.4044724705786945,-0.0068636738637194925,0.1715809539892184,0.5640962037513029
Finland,2012,0.9204889055047063,1.4842779687075704,1.068333046126927,1.8465543041894852,0.9182727627282664,1.3377554777403249,0.654029917220009,1.6665312957928988,0.10589985823237799,1.8498590244577604,1.3176909910821182
Finland,2013,1.0672313936098439,1.4842779687075704,1.138289583246269,1.8033463800981795,0.9182727627282664,1.2774328231035714,0.6237552947572194,1.5862494784862782,0.10796460746851345,1.8066404235849467,1.3323007714344797
Finland,2014,0.6293952467918065,1.4842779687075704,1.176495999438129,1.5782518020856995,0.9182727627282664,1.207203407065729,0.5662270988482629,1.50572184524858,0.09070435270149067,1.5273917176105467,1.5439556582636682
Finland,2015,0.6201991679864152,1.3836456604110856,1.2187013597420895,1.3180557989579749,0.9182727627282664,1.211382628655319,0.5191214711745732,1.3184297576597441,0.06540511958690633,0.8839399649841558,1.4539738607968034
Finland,2016,0.7298795509615481,1.3836456604110856,1.1171975033147579,1.3157796574884781,0.9182727627282664,1.1859008622074299,0.5079552508369197,1.2129868151492875,0.10151150227559957,0.775928108303293,1.397287932069129
Finland,2017,0.7096508242828319,1.433996459902136,1.0876922686952637,1.5096852153586784,0.8657710264632711,1.2462192771982212,0.5561103296710341,1.2155312767362159,0.07087650859205859,0.9705958797050513,1.4178022897791693
Finland,2018,0.8331066245855197,1.433996459902136,1.115001104287004,1.5622774627160199,0.8657710264632711,1.3125496772829028,0.5550515500007799,1.2369627731358055,0.058878655386355117,0.566467388386899,1.4306907835968725
Finland,2019,0.8963148555829429,1.9338336137708367,1.1657471987011396,1.5032274596291761,0.8657710264632711,1.2539563164240912,0.5311503609502128,1.2671789487386897,0.08882291150043302,0.4400481006903951,1.4034163026004258
Finland,2020,1.126991779943078,1.8343805610908375,1.0806961586212396,1.4004448790494062,0.9182727627282664,1.3574370189117788,0.6212982265757581,1.3466466404342576,0.10291399209918163,0.7740437137330978,1.4109214972895694
France,2012,0.21167008390952224,-0.1261821009243136,0.3315319825256903,0.6607616024198494,0.2995622569414954,0.567150963544993,1.6845422173469773,0.827002395205048,0.7152691292011085,-0.13706617324208975,0.6891100992659546
France,2013,0.24978102398804922,-0.1261821009243136,0.36802931122606297,0.8107996812529437,0.2995622569414954,0.5291821736195231,1.6893792694887755,0.835204954607126,0.8041312187098469,-0.3340169349173975,0.6466960227612645
France,2014,0.39765259808769354,-0.19973829932404488,0.4381180866627354,0.7151343414221146,0.2995622569414954,0.5269791717391338,1.6832437661663802,0.867213493108184,0.35930162706089636,-0.5885101390405155,0.7095349058052014
France,2015,-0.05347576295027525,-0.19973829932404488,0.47144869578343773,0.7212016510661413,0.2995622569414954,0.5041923135642706,1.6768941648502673,0.8269194231412179,-0.04674621345421021,-0.8982995539798241,0.6029798072739316
France,2016,0.0425528303249098,-0.19973829932404488,0.5070961487095188,0.6706597683956391,0.25733561152670437,0.3664397449400715,1.6735868930577928,0.8231001512067744,0.08787378692166647,-1.1643388792001568,0.5843301586267093
France,2017,0.13795835791771768,1.1302917524975027,0.47361010894715394,0.5723483917931521,0.25733561152670437,0.39735473458041254,1.680472422228087,0.8035101142162899,0.7131915186243234,-0.6450297725337757,0.6414129728760933
France,2018,0.2596251240031193,1.1899722505725325,0.5420361297019215,0.7245119835964228,0.25733561152670437,0.40677762645700843,1.676795289152521,0.8016693879845803,0.916810499256055,-1.013162108258208,0.639078839208742
France,2019,0.36410031073496263,1.2005792264903885,0.6051305732384704,0.6124535058728536,0.25733561152670437,0.323848570385455,1.6701555629889258,0.7975654003357286,0.49827127995715703,-0.6360499580127381,0.608748384477165
France,2020,0.4763093140326772,1.1830207462317979,0.6296703657058931,0.4299749453646924,0.2995622569414954,0.2292678335159348,1.6233320534789626,0.8661494550106161,1.002057911489157,-0.6204148633928506,0.5194987278850892
Germany,2012,0.2841748641097999,0.5060782234509332,-0.0019538934200898548,0.8787105680593819,0.6642713561173351,0.888092554412199,2.228354580103788,1.3252292037192588,1.3577259186692947,0.31029708260200817,0.9758990075731284
Germany,2013,0.4320151945593639,0.8710098302243896,0.09236788557895163,0.8500710059019082,0.6642713561173351,0.914304298345607,2.2355639133194156,1.2930570648639153,3.038916606167798,0.6488236521227555,0.9422139143246122
Germany,2014,0.6008492027844828,0.8710098302243896,0.1685510510855607,1.0658022751493226,0.6642713561173351,0.9785315852708819,2.2433134286278364,1.322497285115966,3.843647307268538,0.6423879549201594,1.2007294556166985
Germany,2015,0.7200632395995833,0.8710098302243896,0.22190406878620442,1.0540026931519137,0.6642713561173351,0.9482633852602816,2.2358663037611657,1.3614848821551173,7.342523563708063,0.12559447511621297,1.0874239590176276
Germany,2016,0.43162031208679896,0.8710098302243896,0.3047945956280028,1.059339716430785,0.6642713561173351,0.8271550520362477,2.2464299516444433,1.3660461942062487,3.381623555808106,0.08479376135230791,0.8696117525427804
Germany,2017,0.45048884912173404,0.2820918502174582,0.34723344223636554,0.9932922668731679,0.6642713561173351,0.9704197228462834,2.239759839920652,1.4388292479456688,2.9802243472083148,-0.09960194138950647,0.8582445598266921
Germany,2018,0.6725997410560282,0.2820918502174582,0.304438634015286,0.8684174179967695,0.6642713561173351,0.9930692736864227,2.2283248377290454,1.4809794186073821,2.672365853213835,-0.09283503190506726,0.8796224603984243
Germany,2019,0.7671838936645472,0.29680660466054964,0.34079370823527816,0.8291064477643679,0.6642713561173351,0.8048003530450649,2.2284735301444583,1.518541084693098,2.1345386951884375,-0.14927441319421791,0.8671403524853517
Germany,2020,0.9145305319237145,0.32620261006766754,0.4040769336835634,0.5789118782943504,0.6642713561173351,0.846431620247643,2.1829360977400607,1.4950959358562212,1.3861665190596761,0.03939431773422422,0.7915888302848284
Greece,2012,-1.4889180188372875,-0.7557329841635925,-1.2524015553296104,-0.7695490071242264,0.5217310501958649,-0.42360507303612305,0.1643046616802283,-0.8305572340521562,-1.7778115351555563,-1.2917481185391122,-0.5753563476507885
Greece,2013,-1.2360909408874854,-0.7557329841635925,-1.2397211270150197,-0.67034067031113,0.5684512182633239,-0.4462298428312732,0.21669990857374857,-0.6788999719890884,-1.607676661197909,-1.2402800821775792,-0.4820636873614629
Greece,2014,-1.0453882169659272,-0.7557329841635925,-1.0127332237295519,-0.7431424805278208,0.6159606708355184,-0.5582776355709677,0.1821477226826543,-0.6436354115761931,-1.2551907520730687,-1.2046440939851641,-0.5920606637695484
Greece,2015,-0.8245971206389519,-0.9015217556360683,-0.8088353611008068,-0.9272288931521073,0.6159606708355184,-0.5048605386394881,0.09843179961563209,-0.47370898240123954,-1.1664361743827405,-1.3119117003445842,-0.7344197220602733
Greece,2016,-0.6802258592476776,-0.9015217556360683,-0.7671156234656095,-0.9528885698808766,0.6642713561173351,-0.4764760475212483,0.14660537114618516,-0.42275423325564293,0.048334205110679984,-1.192110087000164,-0.8972205556000099
Greece,2017,-0.6272769750476079,-1.0484405565564594,-0.8276211320746278,-0.8148261523869188,0.6642713561173351,-0.493236021909549,0.0490147084491243,-0.23996243028764513,0.04832629409548333,-1.1339818239958228,-0.9688797146072544
